district_raw,state_full,state_abrev,district_num,region,dem,dem_id,dem_per,gop,gop_id,gop_edit,hold_flip,winner,win_id,win_per,loser,lose_id,lose_per,delta
Oklahoma District 1,Oklahoma,OK,1,south,Gilpin,H8OK01173,40.7,Hern,H8OK01157,59.3,GOP Hold,Hern,H8OK01157,59.3,Gilpin,H8OK01173,40.7,18.6
Oklahoma District 2,Oklahoma,OK,2,south,Nichols,H8OK02148,30.1,Mullin,H2OK02083,65,GOP Hold,Mullin,H2OK02083,65,Nichols,H8OK02148,30.1,34.9
Oklahoma District 3,Oklahoma,OK,3,south,Robbins,H8OK03047,26.1,Lucas,H4OK06056,73.9,GOP Hold,Lucas,H4OK06056,73.9,Robbins,H8OK03047,26.1,47.8
Oklahoma District 4,Oklahoma,OK,4,south,Brannon,H8OK04094,33,Cole,H2OK04055,63.1,GOP Hold,Cole,H2OK04055,63.1,Brannon,H8OK04094,33,30.1
Oklahoma District 5,Oklahoma,OK,5,south,Horn,H8OK05109,50.7,Russell,H4OK05132,49.3,Dem Pickup,Horn,H8OK05109,50.7,Russell,H4OK05132,49.3,1.4
Oregon District 1,Oregon,OR,1,west,Bonamici,H2OR01133,63.7,Verbeek,H8OR01262,32.1,Dem Hold,Bonamici,H2OR01133,63.7,Verbeek,H8OR01262,32.1,31.6
Oregon District 2,Oregon,OR,2,west,McLeod-Skinner,H8OR02161,39.4,Walden,H6OR02116,56.3,GOP Hold,Walden,H6OR02116,56.3,McLeod-Skinner,H8OR02161,39.4,16.9
Oregon District 3,Oregon,OR,3,west,Blumenauer,H6OR03064,72.7,Harrison,H8OR03102,19.9,Dem Hold,Blumenauer,H6OR03064,72.7,Harrison,H8OR03102,19.9,52.8
Oregon District 4,Oregon,OR,4,west,DeFazio,H6OR04047,56,Robinson,H0OR04081,40.9,Dem Hold,DeFazio,H6OR04047,56,Robinson,H0OR04081,40.9,15.1
Oregon District 5,Oregon,OR,5,west,Schrader,H8OR05107,55.1,Callahan,H8OR05198,41.9,Dem Hold,Schrader,H8OR05107,55.1,Callahan,H8OR05198,41.9,13.2
Pennsylvania District 1,Pennsylvania,PA,1,northeast,Wallace,H8PA08174,48.7,Fitzpatrick,H6PA08277,51.3,GOP Hold,Fitzpatrick,H6PA08277,51.3,Wallace,H8PA08174,48.7,2.6
Pennsylvania District 2,Pennsylvania,PA,2,northeast,Boyle,H4PA13199,79,Torres,H8PA02110,21,Dem Hold,Boyle,H4PA13199,79,Torres,H8PA02110,21,58
Pennsylvania District 3,Pennsylvania,PA,3,northeast,Evans,H6PA02171,93.4,Leib,H6PA01165,6.6,Dem Hold,Evans,H6PA02171,93.4,Leib,H6PA01165,6.6,86.8
Pennsylvania District 4,Pennsylvania,PA,4,northeast,Dean,H8PA04116,63.5,David,H8PA15286,36.5,Dem Hold,Dean,H8PA04116,63.5,David,H8PA15286,36.5,27
Pennsylvania District 5,Pennsylvania,PA,5,northeast,Scanlon,H8PA07200,65.2,Kim,H8PA05295,34.8,Dem Pickup,Scanlon,H8PA07200,65.2,Kim,H8PA05295,34.8,30.4
Pennsylvania District 6,Pennsylvania,PA,6,northeast,Houlahan,H8PA06087,58.9,McCauley,H8PA07192,41.1,Dem Pickup,Houlahan,H8PA06087,58.9,McCauley,H8PA07192,41.1,17.8
Pennsylvania District 7,Pennsylvania,PA,7,northeast,Wild,H8PA15229,53.5,Nothstein,H8PA15245,43.5,Dem Pickup,Wild,H8PA15229,53.5,Nothstein,H8PA15245,43.5,10
Pennsylvania District 8,Pennsylvania,PA,8,northeast,Cartwright,H2PA17079,54.6,Chrin,H8PA17050,45.4,Dem Hold,Cartwright,H2PA17079,54.6,Chrin,H8PA17050,45.4,9.2
Pennsylvania District 9,Pennsylvania,PA,9,northeast,Wolff,H8PA11095,40.3,Meuser,H8PA10147,59.7,GOP Hold,Meuser,H8PA10147,59.7,Wolff,H8PA11095,40.3,19.4
Pennsylvania District 10,Pennsylvania,PA,10,northeast,Scott,H8PA04090,48.7,Perry,H2PA04135,51.3,GOP Hold,Perry,H2PA04135,51.3,Scott,H8PA04090,48.7,2.6
Pennsylvania District 11,Pennsylvania,PA,11,northeast,King,H8PA16078,41,Smucker,H6PA16320,59,GOP Hold,Smucker,H6PA16320,59,King,H8PA16078,41,18
Pennsylvania District 12,Pennsylvania,PA,12,northeast,Friedenberg,H8PA05204,34,Marino,H0PA10078,66,GOP Hold,Marino,H0PA10078,66,Friedenberg,H8PA05204,34,32
Pennsylvania District 13,Pennsylvania,PA,13,northeast,Ottaway,H8PA13133,29.5,Joyce,H8PA13125,70.5,GOP Hold,Joyce,H8PA13125,70.5,Ottaway,H8PA13133,29.5,41
Pennsylvania District 14,Pennsylvania,PA,14,northeast,Boerio,H8PA14065,42.1,Reschenthaler,H8PA18199,57.9,GOP Pickup,Reschenthaler,H8PA18199,57.9,Boerio,H8PA14065,42.1,15.8
Pennsylvania District 15,Pennsylvania,PA,15,northeast,Boser,H8PA09065,32.2,Thompson,H8PA05071,67.8,GOP Hold,Thompson,H8PA05071,67.8,Boser,H8PA09065,32.2,35.6
Pennsylvania District 16,Pennsylvania,PA,16,northeast,DiNicola,H4PA21069,47.3,Kelly,H0PA03271,51.6,GOP Hold,Kelly,H0PA03271,51.6,DiNicola,H4PA21069,47.3,4.3
