,candidate_id,candidate_name,candidate,party,state,district,incumbent_challenge,committee_id,committee_name,total,advertise,poll,research,fundraise,pay,materials,consulting,event,mail,travel,smedia,radio,television,website,newspaper
79,H8AZ08174,"MONTENEGRO, STEVE",Montenegro,REP,AZ,8,O,C00664813,MONTENEGRO FOR CONGRESS,355940.68,NA,NA,25750,5584.21,NA,3100,2515.16,NA,59371,NA,NA,NA,NA,2500,NA
80,H8AZ08182,"DILLEY, BRENDEN",Dilley,REP,AZ,8,O,C00663351,DILLEY FOR CONGRESS,38777.92,22195.89,NA,NA,NA,NA,6794.39,NA,NA,NA,NA,NA,5797.32,NA,NA,NA
81,H8AZ08190,"MACK, RICHARD",Mack,REP,AZ,8,O,C00664953,SHERIFF RICHARD MACK FOR CONGRESS INC.,72369.3,500,NA,NA,3275.66,NA,NA,54352.83,NA,NA,NA,NA,NA,NA,2500,NA
82,H8AZ08208,"SAWDY, STEVEN",Sawdy,REP,AZ,8,O,C00666867,SAWDY FOR ARIZONA,280.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.74,NA
83,H8AZ08232,"MUSSELWHITE, ROBERT RICHARD",Musselwhite,DEM,AZ,8,C,C00673194,BOB MUSSELWHITE FOR CONGRESS,4440.34,0.58,NA,NA,NA,NA,NA,NA,NA,16.45,NA,NA,NA,NA,NA,NA
84,H8AZ08257,"DOWLING, SANDRA ELAINE DR",Dowling,REP,AZ,8,C,C00679993,DOWLING FOR CONGRESS,15668.58,904.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904.5,NA,NA,NA
85,H8AZ09016,"BARONESS VON BEHR, IRINA",Baroness Von Behr,REP,AZ,9,O,C00634337,IRINA BARONESS VON BEHR FOR US CONGRESS,19629.75,NA,NA,NA,445,NA,NA,7500,220,NA,NA,NA,NA,NA,1960,NA
86,H8AZ09024,"FERRARA, STEVE MD",Ferrara,REP,AZ,9,O,C00640268,STEVE FERRARA FOR CONGRESS,1624888.15,45031.95,NA,8000,124353.63,3500,NA,345342.06,15672.87,107.5,14883,14000,NA,NA,319.06,NA
87,H8AZ09032,"LEIBSOHN, SETH MR.",Leibsohn,REP,AZ,9,O,C00656603,SETH LEIBSOHN FOR CONGRESS,138824.2,NA,NA,NA,7500,NA,NA,81811.88,NA,NA,NA,NA,NA,NA,3500,NA
88,H8AZ09040,"STANTON, GREG",Stanton,DEM,AZ,9,I,C00657304,STANTON FOR CONGRESS,2467395.08,16393.93,52641.41,55741.44,47091.25,217116.23,NA,112621.38,14747.42,4225.51,38506.2,NA,NA,NA,106.28,NA
89,H8AZ09057,"MENOR, SCOTT A",Menor,DEM,AZ,5,O,C00657403,COMMITTEE TO ELECT SCOTT MENOR,7663.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA
90,H8AZ09065,"ARAUJO, HECTOR MR.",Araujo,DEM,AZ,9,O,C00676015,HECTOR FOR ARIZONA,2664.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,H8CA01190,"HOLCOMBE, JESSICA JONES",Holcombe,DEM,CA,1,C,C00639799,JESSICA HOLCOMBE FOR CONGRESS,314805.42,200,19900,23091.63,202.9,NA,NA,52323.13,542.84,13722.8,1423.19,NA,NA,NA,1103.2,NA
92,H8CA01208,"WALTERS, MARTHA",Walters,DEM,CA,1,C,C00639732,MARTY WALTERS FOR CONGRESS,82932.7,6421.4,NA,NA,NA,NA,NA,NA,2838.3,12279.67,NA,NA,NA,NA,192,NA
93,H8CA01216,"STORMENT, BRANDON",Storment,DEM,CA,1,C,C00647032,BRANDON STORMENT FOR CONGRESS,1390.49,NA,NA,NA,NA,NA,NA,NA,NA,1003.29,NA,NA,NA,NA,NA,NA
94,H8CA01224,"DUNCAN, DENNIS DEAN",Duncan,DEM,CA,1,C,C00635961,DENNIS DUNCAN FOR CONGRESS,818.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,H8CA01240,"ELBINGER, LEWIS",Elbinger,GRE,CA,1,C,C00664912,LEWIS ELBINGER FOR CONGRESS,15008.7,9454.98,NA,NA,NA,NA,825.08,NA,NA,NA,NA,NA,NA,3600,1275.75,NA
96,H8CA01257,"DENNEY, AUDREY L",Denney,DEM,CA,1,C,C00664409,AUDREY DENNEY FOR CONGRESS,1133411.5,335547.46,42933.81,42933.81,19716.7,NA,1602.14,140744.51,11190.77,136241.76,6336.95,5500,NA,NA,216,NA
97,H8CA04186,"WILCOX, ROCHELLE LYN",Wilcox,DEM,CA,4,C,C00639906,ROCHELLE WILCOX FOR CONGRESS,23048.14,NA,NA,NA,NA,NA,NA,3300,NA,35,2794.34,NA,NA,NA,2808.12,NA
98,H8CA04194,"BATESON, REGINA",Bateson,DEM,CA,4,C,C00639211,BATESON FOR CONGRESS,810813.11,93232.32,23795.5,NA,3184.76,167890.21,NA,81282.96,3030.63,219247.48,11248.01,NA,NA,NA,NA,NA
99,H8CA04202,"CALDERON, ROZA I",Calderon,DEM,CA,4,C,C00640755,ROZA CALDERON FOR CONGRESS 2018,31431.33,699.3,NA,NA,4000,8599.04,2025.03,5612,716.71,465.48,4064.06,57,NA,NA,179.88,NA
100,H8CA04210,"MORSE, JESSICA",Morse,DEM,CA,4,C,C00650408,JESSICA MORSE FOR CONGRESS,3705181.89,2263536.05,106641.43,NA,38447.27,457176.25,NA,184366.88,8594.6,268496.67,7274.39,NA,NA,2189373.98,529.88,NA
101,H8CA04236,"WHITE, MITCHELL",White,REP,CA,4,C,C00666693,VOTE MITCHELL WHITE,9951.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,H8CA07056,"GRANT, ANDREW",Grant,REP,CA,7,C,C00649400,ANDREW GRANT FOR CONGRESS,572896.3,58574.12,2600,300,123936.45,14981.63,NA,176812.96,10532.67,92361.54,16743.68,NA,NA,NA,3818,NA
103,H8CA07064,"WESTMORELAND, BRAD",Westmoreland,DEM,CA,7,C,C00653097,BRAD WESTMORELAND FOR CONGRESS,2523.75,161.58,NA,NA,NA,NA,NA,NA,NA,1828.9,NA,NA,NA,NA,14.58,NA
104,H8CA07072,"BARASH, YONA",Barash,REP,CA,7,C,C00655191,YONA BARASH FOR CONGRESS,321673.2,25498.65,NA,NA,44285.1,NA,NA,79930.22,7338.12,10285.54,7506.24,NA,10175,NA,NA,NA
